Country_Code;Name;
2;Afghanistan;
3;Albania;
4;Algeria;
7;Angola;
8;Antigua and Barbuda;
9;Argentina;
1;Armenia;
10;Australia;
11;Austria;
52;Azerbaijan;
12;Bahamas;
16;Bangladesh;
14;Barbados;
57;Belarus;
255;Belgium;
23;Belize;
53;Benin;
17;Bermuda;
19;Bolivia (Plurinational State of);
80;Bosnia and Herzegovina;
20;Botswana;
21;Brazil;
26;Brunei Darussalam;
27;Bulgaria;
233;Burkina Faso;
35;Cabo Verde;
115;Cambodia;
32;Cameroon;
33;Canada;
37;Central African Republic;
39;Chad;
40;Chile;
96;China             Hong Kong SAR;
128;China               Macao SAR;
41;China                mainland;
214;China               Taiwan Province of; 
44;Colombia;
46;Congo;
48;Costa Rica;
107;C̫te d'Ivoire;
98;Croatia;
49;Cuba;
50;Cyprus;
167;Czechia;
116;Democratic People's Republic of Korea;
54;Denmark;
72;Djibouti;
55;Dominica;
56;Dominican Republic;
58;Ecuador;
59;Egypt;
60;El Salvador;
63;Estonia;
238;Ethiopia;
66;Fiji;
67;Finland;
68;France;
70;French Polynesia;
74;Gabon;
75;Gambia;
73;Georgia;
79;Germany;
81;Ghana;
84;Greece;
86;Grenada;
89;Guatemala;
90;Guinea;
175;Guinea-Bissau;
91;Guyana;
93;Haiti;
95;Honduras;
97;Hungary;
99;Iceland;
100;India;
101;Indonesia;
102;Iran (Islamic Republic of);
103;Iraq;
104;Ireland;
105;Israel;
106;Italy;
109;Jamaica;
110;Japan;
112;Jordan;
108;Kazakhstan;
114;Kenya;
83;Kiribati;
118;Kuwait;
113;Kyrgyzstan;
120;Lao People's Democratic Republic;
119;Latvia;
121;Lebanon;
122;Lesotho;
123;Liberia;
126;Lithuania;
256;Luxembourg;
129;Madagascar;
130;Malawi;
131;Malaysia;
132;Maldives;
133;Mali;
134;Malta;
136;Mauritania;
137;Mauritius;
138;Mexico;
141;Mongolia;
273;Montenegro;
143;Morocco;
144;Mozambique;
28;Myanmar;
147;Namibia;
149;Nepal;
150;Netherlands;
153;New Caledonia;
156;New Zealand;
157;Nicaragua;
158;Niger;
159;Nigeria;
162;Norway;
221;Oman;
165;Pakistan;
166;Panama;
169;Paraguay;
170;Peru;
171;Philippines;
173;Poland;
174;Portugal;
117;Republic of Korea;
146;Republic of Moldova;
183;Romania;
185;Russian Federation;
184;Rwanda;
188;Saint Kitts and Nevis;
189;Saint Lucia;
191;Saint Vincent and the Grenadines;
244;Samoa;
193;Sao Tome and Principe;
194;Saudi Arabia;
195;Senegal;
272;Serbia;
197;Sierra Leone;
199;Slovakia;
198;Slovenia;
25;Solomon Islands;
202;South Africa;
203;Spain;
38;Sri Lanka;
276;Sudan;
207;Suriname;
209;Eswatini;
210;Sweden;
211;Switzerland;
208;Tajikistan;
216;Thailand;
154;North Macedonia;
176;Timor-Leste;
217;Togo;
220;Trinidad and Tobago;
222;Tunisia;
223;Turkey;
213;Turkmenistan;
226;Uganda;
230;Ukraine;
225;United Arab Emirates;
229;United Kingdom;
215;United Republic of Tanzania;
231;United States of America;
234;Uruguay;
235;Uzbekistan;
155;Vanuatu;
236;Venezuela (Bolivarian Republic of);
237;Viet Nam;
249;Yemen;
251;Zambia;
181;Zimbabwe;
351;China;
