,Country Code,Country
0,2,Afghanistan
1,3,Albania
2,4,Algeria
3,7,Angola
4,8,Antigua and Barbuda
5,9,Argentina
6,1,Armenia
7,10,Australia
8,11,Austria
9,52,Azerbaijan
10,12,Bahamas
11,16,Bangladesh
12,14,Barbados
13,57,Belarus
14,255,Belgium
15,23,Belize
16,53,Benin
17,17,Bermuda
18,19,Bolivia (Plurinational State of)
19,80,Bosnia and Herzegovina
20,20,Botswana
21,21,Brazil
22,26,Brunei Darussalam
23,27,Bulgaria
24,233,Burkina Faso
25,35,Cabo Verde
26,115,Cambodia
27,32,Cameroon
28,33,Canada
29,37,Central African Republic
30,39,Chad
31,40,Chile
32,96,"China, Hong Kong SAR"
33,128,"China, Macao SAR"
34,41,"China, mainland"
35,214,"China, Taiwan Province of"
36,44,Colombia
37,46,Congo
38,48,Costa Rica
39,107,C̫te d'Ivoire
40,98,Croatia
41,49,Cuba
42,50,Cyprus
43,167,Czechia
44,116,Democratic People's Republic of Korea
45,54,Denmark
46,72,Djibouti
47,55,Dominica
48,56,Dominican Republic
49,58,Ecuador
50,59,Egypt
51,60,El Salvador
52,63,Estonia
53,238,Ethiopia
54,66,Fiji
55,67,Finland
56,68,France
57,70,French Polynesia
58,74,Gabon
59,75,Gambia
60,73,Georgia
61,79,Germany
62,81,Ghana
63,84,Greece
64,86,Grenada
65,89,Guatemala
66,90,Guinea
67,175,Guinea-Bissau
68,91,Guyana
69,93,Haiti
70,95,Honduras
71,97,Hungary
72,99,Iceland
73,100,India
74,101,Indonesia
75,102,Iran (Islamic Republic of)
76,103,Iraq
77,104,Ireland
78,105,Israel
79,106,Italy
80,109,Jamaica
81,110,Japan
82,112,Jordan
83,108,Kazakhstan
84,114,Kenya
85,83,Kiribati
86,118,Kuwait
87,113,Kyrgyzstan
88,120,Lao People's Democratic Republic
89,119,Latvia
90,121,Lebanon
91,122,Lesotho
92,123,Liberia
93,126,Lithuania
94,256,Luxembourg
95,129,Madagascar
96,130,Malawi
97,131,Malaysia
98,132,Maldives
99,133,Mali
100,134,Malta
101,136,Mauritania
102,137,Mauritius
103,138,Mexico
104,141,Mongolia
105,273,Montenegro
106,143,Morocco
107,144,Mozambique
108,28,Myanmar
109,147,Namibia
110,149,Nepal
111,150,Netherlands
112,153,New Caledonia
113,156,New Zealand
114,157,Nicaragua
115,158,Niger
116,159,Nigeria
117,162,Norway
118,221,Oman
119,165,Pakistan
120,166,Panama
121,169,Paraguay
122,170,Peru
123,171,Philippines
124,173,Poland
125,174,Portugal
126,117,Republic of Korea
127,146,Republic of Moldova
128,183,Romania
129,185,Russian Federation
130,184,Rwanda
131,188,Saint Kitts and Nevis
132,189,Saint Lucia
133,191,Saint Vincent and the Grenadines
134,244,Samoa
135,193,Sao Tome and Principe
136,194,Saudi Arabia
137,195,Senegal
138,272,Serbia
139,197,Sierra Leone
140,199,Slovakia
141,198,Slovenia
142,25,Solomon Islands
143,202,South Africa
144,203,Spain
145,38,Sri Lanka
146,276,Sudan
147,207,Suriname
148,209,Eswatini
149,210,Sweden
150,211,Switzerland
151,208,Tajikistan
152,216,Thailand
153,154,North Macedonia
154,176,Timor-Leste
155,217,Togo
156,220,Trinidad and Tobago
157,222,Tunisia
158,223,Turkey
159,213,Turkmenistan
160,226,Uganda
161,230,Ukraine
162,225,United Arab Emirates
163,229,United Kingdom
164,215,United Republic of Tanzania
165,231,United States of America
166,234,Uruguay
167,235,Uzbekistan
168,155,Vanuatu
169,236,Venezuela (Bolivarian Republic of)
170,237,Viet Nam
171,249,Yemen
172,251,Zambia
173,181,Zimbabwe
174,351,China
